player,off_contribution,def_contribution
adam hall,-0.765867240910884,0.310632154718289
adam henrique,0.393117973720342,-0.12037418501609
aleksander barkov,0.722178894260855,-0.0462328834958072
ales hemsky,0.30053664090842,-0.341652928790321
alex chiasson,-0.291051670399401,-0.237057029456864
alex galchenyuk,0.498229271281575,-1.31420537245822
alex killorn,0.317025008738594,0.284877114019659
alex ovechkin,1.90948083520711,-1.45112922584023
alexander semin,0.161676981612533,-0.337880896617458
alexandre burrows,-0.392013528062668,-0.134490428806313
andrew cogliano,-0.201288650021698,0.490388503775695
andrew desjardins,-0.614441166942288,0.28669423065164
andrew ladd,0.351440731106083,0.124326110507141
andrew shaw,0.163385196685419,-0.379478829567109
antoine roussel,-0.126648769324363,0.241594005708613
antoine vermette,-0.0745293422259708,-0.453221008706808
anze kopitar,0.959159921148102,0.633659645117499
artem anisimov,0.00282094767360707,-0.136124617849629
ben smith,-0.36383731950562,0.261472384109792
benoit pouliot,-0.0983331203972484,-0.397225369754242
blake comeau,-0.518719641282471,1.15177231263127
blake wheeler,1.11017058120679,0.808471775858365
bobby ryan,0.347377918881704,-0.653329549840608
boone jenner,0.151417222583754,-0.706517098097482
boyd gordon,-0.801841407140628,0.308651605745577
brad boyes,0.0951235926842802,-0.0291841870805937
brad marchand,1.54577740143492,-0.196504352863812
brad richards,0.309585826332962,-0.78028895209841
brad richardson,-0.399626047160096,0.0354234997492993
brandon bollig,-0.486448252568224,0.400246491707546
brandon dubinsky,-0.0399313050843135,0.501050527615624
brandon prust,-0.667907497300871,0.49845330333255
brandon saad,0.675722439297763,-0.113300059333062
brandon sutter,-0.407580466688404,0.258960184227738
brayden schenn,0.721501863297559,-0.295389556796975
brendan gallagher,0.709099390292481,0.236108429726403
brenden morrow,-0.483308639099151,0.338576216434429
brent burns,0.610671878067848,-0.256573144422042
brian boyle,-0.365482059474781,0.282867588206993
brian flynn,-0.74978131338231,-0.156933459043783
brian gionta,-0.127256483418851,0.659746222564099
brock nelson,0.386321708868246,-0.10813426185989
brooks laich,-0.596346555327944,-0.060209168143526
bryan bickell,-0.150085691586445,-0.0455930865599392
bryan little,0.415090155653165,-0.228657373859653
